channel,url,title,date
VK:Archief,http://www.volkskrant.nl/wetenschap/belgische-specialisten-willen-nieuw-betalingssysteem~a4459280/,Belgische specialisten willen nieuw betalingssysteem,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/opinie/-oorlogstaal-aanhangers-coalitiepartijen-baart-zorgen~a4459184/,'Oorlogstaal' aanhangers coalitiepartijen baart zorgen,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/boeken/balzaal-vol-ontklede-echtgenotes~a4459174/,Balzaal vol ontklede echtgenotes,"Wed, 08 Feb 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/binnenland/scholen-zien-vrijheid-van-onderwijs-in-gevaar-komen-door-nieuwe-eis-overheid~a4459299/,Scholen zien vrijheid van onderwijs in gevaar komen door nieuwe eis overheid,"Tue, 07 Feb 2017 21:28:00 GMT"
VK:Archief,http://www.volkskrant.nl/archief/kiezersregistratie-vs-is-zo-lek-als-een-mandje-miljoenen-kiezers-stemmen-twee-keer~a4458819/,Kiezersregistratie VS is zo lek als een mandje: miljoenen kiezers stemmen twee keer,"Mon, 06 Feb 2017 22:15:00 GMT"
VK:Archief,http://www.volkskrant.nl/buitenland/bert-wagendorp-hoe-lang-kun-je-je-blijven-opwinden-over-trump~a4458346/,Bert Wagendorp: hoe lang kun je je blijven opwinden over Trump?,"Mon, 06 Feb 2017 07:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/archief/de-teloorgang-van-de-school-voor-bijzonder-onderwijs~a4456060/,De teloorgang van de school voor bijzonder onderwijs,"Wed, 01 Feb 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/archief/-salade-van-yacon-en-witlof-met-een-pannenkoekje~a4455096/,Salade van yacon en witlof met een pannenkoekje,"Mon, 30 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/economie/volhardende-allesclaimer-met-gevoel-voor-affaires~a4453971/,Volhardende allesclaimer met gevoel voor affaires,"Thu, 26 Jan 2017 20:23:00 GMT"
VK:Archief,http://www.volkskrant.nl/binnenland/zware-duitse-bommen-weer-even-dagelijkse-kost~a4452896/,Zware Duitse bommen weer even dagelijkse kost,"Wed, 25 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/wetenschap/artsen-politici-maak-keuze-over-verdeling-zorgbudget~a4451375/,Artsen: politici maak keuze over verdeling zorgbudget,"Sat, 21 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/magazine/alles-vastleggen-om-het-verhaal-te-vertellen~a4451244/,Alles vastleggen om het verhaal te vertellen,"Sat, 21 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/archief/allerellendigst-uitgeput-onder-een-brandend-hete-zon~a4450655/,"Allerellendigst uitgeput, onder een brandend hete zon","Fri, 20 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/magazine/elektrotechneut-op-de-bres-voor-gehandicapten~a4449612/,Elektrotechneut op de bres voor gehandicapten,"Wed, 18 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/opinie/hoed-u-voor-de-boze-toiletmeneer-van-de-konditorei~a4449148/,Hoed u voor de boze toiletmeneer van de Konditorei,"Tue, 17 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/archief/voel-de-jesse~a4448729/,Voel de Jesse,"Mon, 16 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/televisie/de-volkskrant-tv-selectie-voor-zondag-15-januari~a4447829/,De Volkskrant tv-selectie voor zondag 15 januari,"Sun, 15 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/wetenschap/tattoopoli-gaat-pijnlijke-tatoeages-verwijderen~a4447574/,Tattoopoli gaat pijnlijke tatoeages verwijderen,"Fri, 13 Jan 2017 05:04:00 GMT"
VK:Archief,http://www.volkskrant.nl/beeldende-kunst/flaming-june-het-meisje-van-je-dromen~a4447457/,Flaming June: het meisje van je dromen,"Thu, 12 Jan 2017 18:30:00 GMT"
VK:Archief,http://www.volkskrant.nl/buitenland/geboortedorp-ban-ki-moon-ziet-hem-al-als-president~a4446994/,Geboortedorp Ban Ki-moon ziet hem al als president,"Thu, 12 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/binnenland/kringloopwinkel-is-de-dorpspomp-van-vught~a4447011/,Kringloopwinkel is de dorpspomp van Vught,"Thu, 12 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/muziek/platenbaas-seymour-stein-een-oor-voor-goede-liedjes~a4446914/,"Platenbaas Seymour Stein, een oor voor goede liedjes","Thu, 12 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/binnenland/met-afstand-de-populairste-jongen-van-groep-6~a4446922/,Met afstand de populairste jongen van groep 6,"Wed, 11 Jan 2017 18:30:00 GMT"
VK:Archief,http://www.volkskrant.nl/boeken/een-openbare-executie-in-rome~a4446402/,Een openbare executie in Rome,"Wed, 11 Jan 2017 01:00:00 GMT"
VK:Archief,http://www.volkskrant.nl/opinie/er-moet-een-kolkende-rivier-van-rancune-door-het-land-stromen~a4446502/,Er moet een kolkende rivier van rancune door het land stromen,"Wed, 11 Jan 2017 01:00:00 GMT"
